RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearEx,DoorType,StNo,HaulNo,Year,Month,Day,TimeShot,DepthStratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,StatRec,ICESArea,Depth,HaulVal,HydroStNo,StdSpecRecCode,BySpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,Warpdia,WarpDen,DoorSurface,DoorWgt,DoorSpread,WingSpread,Buoyancy,KiteDim,WgtGroundRope,TowDir,GroundSpeed,SpeedWater,SurCurDir,SurCurSpeed,BotCurDir,BotCurSpeed,WindDir,WindSpeed,SwellDir,SwellHeight,SurTemp,BotTemp,SurSal,BotSal,ThermoCline,ThClineDepth,CodendMesh,SecchiDepth,Turbidity,TidePhase,TideSpeed,PelSampType,MinTrawlDepth,MaxTrawlDepth,Cal_Distance,Cal_DoorSpread,Cal_WingSpread,BeamWidth,DSflag,WSflag,DistanceFlag,SweptAreaDSKM2,SweptAreaWSKM2,SweptAreaBWKM2,DateofCalculation
HH,BTS,3,NL,64T2,BT8,-9,SB,-9,44E716,16,2005,8,26,625,-9,30,D,57.8307,-2.4326,57.8301,-2.4971,44E7,-9,89,V,44E716,1,1,R,-9,F,8,3796,350,-9,-9,-9,-9,-9,-9,-9,-9,-9,270,-9,-9,-9,-9,-9,-9,270,9,-9,-9,13,11.9,34.9,35,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,3796,-9,-9,8,-9,-9,O,-9,-9,0.030368,20212210
HH,BTS,3,NL,64T2,BT8,-9,SB,-9,44E617,17,2005,8,26,916,-9,30,D,57.8686,-3.2483,57.9036,-3.2549,44E6,-9,63,V,44E617,1,1,R,-9,F,8,3996,250,-9,-9,-9,-9,-9,-9,-9,-9,-9,355,-9,-9,-9,-9,-9,-9,260,16,-9,-9,13,11.8,34.9,34.9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,3996,-9,-9,8,-9,-9,O,-9,-9,0.031968,20212210
HH,BTS,3,NL,64T2,BT8,-9,SB,-9,45F012,12,2005,8,25,907,-9,30,D,58.1007,0.3565,58.1126,0.2936,45F0,-9,147,V,45F012,1,1,R,-9,F,8,3954,500,-9,-9,-9,-9,-9,-9,-9,-9,-9,280,-9,-9,-9,-9,-9,-9,270,4,-9,-9,7.4,7.3,-9,35.3,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,3954,-9,-9,8,-9,-9,O,-9,-9,0.031632,20212210
HH,BTS,3,NL,64T2,BT8,-9,SB,-9,45E913,13,2005,8,25,1220,-9,30,D,58.1697,-0.5617,58.1566,-0.6227,45E9,-9,103,V,45E913,1,1,R,-9,F,8,3878,375,-9,-9,-9,-9,-9,-9,-9,-9,-9,270,-9,-9,-9,-9,-9,-9,270,7,-9,-9,-9,-9,-9,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,3878,-9,-9,8,-9,-9,O,-9,-9,0.031024,20212210
HH,BTS,3,NL,64T2,BT8,-9,SB,-9,45E618,18,2005,8,26,1147,-9,30,D,58.1770,-3.1700,58.2011,-3.1243,45E6,-9,66,V,45E618,1,1,R,-9,F,8,3809,250,-9,-9,-9,-9,-9,-9,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,260,9,-9,-9,12.7,12.7,35,35,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,3809,-9,-9,8,-9,-9,O,-9,-9,0.030472,20212210
HH,BTS,3,NL,64T2,BT8,-9,SB,-9,45E820,20,2005,8,26,1653,-9,30,D,58.2307,-1.4216,58.236,-1.3558,45E8,-9,114,V,45E820,1,1,R,-9,F,8,3892,400,-9,-9,-9,-9,-9,-9,-9,-9,-9,80,-9,-9,-9,-9,-9,-9,260,7,-9,-9,-9,-9,-9,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,3892,-9,-9,8,-9,-9,O,-9,-9,0.031136,20212210
HH,BTS,3,NL,64T2,BT8,-9,SB,-9,45E719,19,2005,8,26,1431,-9,26,D,58.2468,-2.2233,58.2347,-2.1706,45E7,-9,70,V,45E719,1,1,R,-9,F,8,3489,250,-9,-9,-9,-9,-9,-9,-9,-9,-9,115,-9,-9,-9,-9,-9,-9,260,4,-9,-9,12.7,12.7,34.9,34.9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,3489,-9,-9,8,-9,-9,O,-9,-9,0.027912,20212210
HH,BTS,3,GB,74RY,BT4A,-9,-9,-9,4,61,2005,7,31,1301,-9,20,D,49.3832,-0.4223,49.3698,-0.389,27E9,-9,18,V,-9,1,1,S,-9,FM,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,102,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,28,-9,-9,4,-9,-9,-9,-9,-9,0.000111811,20212210
HH,BTS,3,GB,74RY,BT4A,-9,-9,-9,2,62,2005,7,31,1356,-9,20,D,49.3892,-0.2930,49.3863,-0.2573,27E9,-9,20,V,-9,1,1,S,-9,FM,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,101,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,26,-9,-9,4,-9,-9,-9,-9,-9,0.000102734,20212210
HH,BTS,3,DE,06SL,BT7,-9,-9,-9,703,5,2005,8,19,1410,-9,30,D,55.5688,5.6685,55.598,5.6623,40F5,-9,52,V,703,1,1,R,-9,T,-9,3266,200,-9,-9,-9,-9,-9,-9,-9,-9,-9,353,3.6,-9,-9,-9,-9,-9,132,8,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,3266,-9,-9,7,-9,-9,O,-9,-9,0.022862,20212210
