RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearEx,DoorType,StNo,HaulNo,Year,Month,Day,TimeShot,DepthStratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,StatRec,ICESArea,Depth,HaulVal,HydroStNo,StdSpecRecCode,BySpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,Warpdia,WarpDen,DoorSurface,DoorWgt,DoorSpread,WingSpread,Buoyancy,KiteDim,WgtGroundRope,TowDir,GroundSpeed,SpeedWater,SurCurDir,SurCurSpeed,BotCurDir,BotCurSpeed,WindDir,WindSpeed,SwellDir,SwellHeight,SurTemp,BotTemp,SurSal,BotSal,ThermoCline,ThClineDepth,CodendMesh,SecchiDepth,Turbidity,TidePhase,TideSpeed,PelSampType,MinTrawlDepth,MaxTrawlDepth,Cal_Distance,Cal_DoorSpread,Cal_WingSpread,BeamWidth,DSflag,WSflag,DistanceFlag,SweptAreaDSKM2,SweptAreaWSKM2,SweptAreaBWKM2,DateofCalculation
HH,SNS,3,NL,64T1,BT6,-9,-9,-9,607_12,12,1987,9,29,1503,-9,15,D,53.5500,5.5166,-9,-9,36F5,-9,15,V,607_12,1,1,R,-9,-9,4,1611,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9,-9,-9,4,-9,-9,15.5,-9,27.92,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,1611,-9,-9,6,-9,-9,O,-9,-9,0.009666,20212210
HH,SNS,3,NL,64T1,BT6,-9,-9,-9,607_14,14,1987,9,29,1705,-9,15,D,53.5666,5.8000,-9,-9,36F5,-9,18,V,607_14,1,1,R,-9,-9,4,1630,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9,-9,68,4,-9,-9,15.4,-9,27.91,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,1630,-9,-9,6,-9,-9,O,-9,-9,0.00978,20212210
HH,SNS,3,NL,64T1,BT6,-9,-9,-9,607_15,15,1987,9,29,1831,-9,15,D,53.6000,6.0666,-9,-9,36F6,-9,16,V,607_15,1,1,R,-9,-9,4,1704,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9,-9,68,2,-9,-9,14.8,-9,27.92,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,1704,-9,-9,6,-9,-9,O,-9,-9,0.010224,20212210
HH,SNS,3,NL,64T1,BT6,-9,-9,-9,607_16,16,1987,9,29,1940,-9,15,N,53.6833,6.2333,-9,-9,36F6,-9,16,V,607_16,1,1,R,-9,-9,4,1574,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9,-9,68,2,-9,-9,15.3,-9,27.92,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,1574,-9,-9,6,-9,-9,O,-9,-9,0.009444,20212210
HH,SNS,3,NL,64T1,BT6,-9,-9,-9,608_21,21,1987,9,30,1336,-9,15,D,53.7333,6.6833,-9,-9,36F6,-9,13,V,608_21,1,1,R,-9,-9,4,1648,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9,-9,135,2,-9,-9,14.9,-9,27.93,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,1648,-9,-9,6,-9,-9,O,-9,-9,0.009888,20212210
HH,SNS,3,NL,64T1,BT6,-9,-9,-9,608_22,22,1987,9,30,1629,-9,15,D,53.7666,6.8833,-9,-9,36F6,-9,12,V,608_22,1,1,R,-9,-9,4,1648,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9,-9,90,2,-9,-9,15,-9,27.94,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,1648,-9,-9,6,-9,-9,O,-9,-9,0.009888,20212210
HH,SNS,3,NL,64T1,BT6,-9,-9,-9,607_08,8,1987,9,29,938,-9,15,D,53.3500,4.9333,-9,-9,35F4,-9,15,V,607_08,1,1,R,-9,-9,4,1648,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9,-9,315,2,-9,-9,15.6,-9,27.92,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,1648,-9,-9,6,-9,-9,O,-9,-9,0.009888,20212210
HH,SNS,3,NL,64T1,BT6,-9,-9,-9,607_09,9,1987,9,29,1037,-9,15,D,53.4333,5.0166,-9,-9,35F5,-9,23,V,607_09,1,1,R,-9,-9,4,1630,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9,-9,-9,7,-9,-9,15.9,-9,27.91,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,1630,-9,-9,6,-9,-9,O,-9,-9,0.00978,20212210
HH,SNS,3,NL,64T1,BT6,-9,-9,-9,607_10,10,1987,9,29,1301,-9,15,D,53.4666,5.2500,-9,-9,35F5,-9,18,V,607_10,1,1,R,-9,-9,4,1593,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9,-9,-9,7,-9,-9,15.8,-9,27.91,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,1593,-9,-9,6,-9,-9,O,-9,-9,0.009558,20212210
HH,SNS,3,NL,64T1,BT6,-9,-9,-9,607_11,11,1987,9,29,1400,-9,15,D,53.5000,5.3833,-9,-9,35F5,-9,15,V,607_11,1,1,R,-9,-9,4,1648,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9,-9,-9,4,-9,-9,15.5,-9,27.92,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,1648,-9,-9,6,-9,-9,O,-9,-9,0.009888,20212210
